target_id	name	uniprot	description	cmpd_id_in_src	cmpd_pubchem_cid	pubmed_ids
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL431396	44460214	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL383314	44411467	16460939
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL351256	44377301	11858993
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL51292	44296249	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1078314	NULL	19682894
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL461210	25107572	18729445
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL517875	25107570	22365562
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1949701	57400272	22365562
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL41862	44287798	9873397
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL140890	44359906	8917639
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL320162	44333068	15163182
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415213	118733114	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415213	118733114	25874337
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1809241	56677006	21741839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL391737	10343728	17336062
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL391737	10343728	17420122
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1196664	11663836	23627295
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL557787	11663835	16290930
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL323466	44338644	9873701
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL114715	66005	10669559
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL124164	44347748	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3740491	127038046	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL308232	9873979	8035417
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL109999	44339470	15149685
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL414853	44406389	16257203
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL25184	44275289	11965378
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL279904	44457944	9871744
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL139178	10835917	9804686
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL352363	44380233	10636249
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL330788	44348165	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL32612	44281807	12668009
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL118159	10461946	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL118159	10461946	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL118159	10461946	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL70551	44311314	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415066	118733068	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415066	118733068	25874337
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL101041	44331389	9873654
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL332660	44348088	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL176063	23646593	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL176063	23646593	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL50296	10675362	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL431115	44285284	7739010
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL283555	44272744	11934589
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121817	44348142	15203151
